time,pitch,left_theta,right_theta,left_len,right_len,left_torque0,left_torque1,right_torque0,right_torque1
0.004,0.000,-0.004,-0.004,0.800,0.800,-1.052,1.041,-1.038,1.026
0.008,0.000,-0.008,-0.008,0.800,0.800,-1.196,0.774,-1.172,0.750
0.012,0.000,-0.012,-0.012,0.800,0.800,-1.146,0.717,-1.065,0.638
0.016,0.000,-0.016,-0.016,0.800,0.801,-1.091,0.656,-0.937,0.504
0.020,0.000,-0.020,-0.020,0.801,0.801,-1.034,0.593,-0.789,0.351
0.024,0.000,-0.024,-0.024,0.801,0.802,-0.976,0.531,-0.624,0.182
0.028,0.000,-0.028,-0.028,0.801,0.802,-0.921,0.472,-0.446,-0.000
0.032,0.000,-0.031,-0.032,0.799,0.803,-2.254,1.829,-0.309,-0.105
0.036,0.000,-0.034,-0.035,0.798,0.801,-2.544,2.158,-2.005,1.615
0.040,0.000,-0.037,-0.038,0.796,0.799,-2.787,2.397,-2.253,1.862
0.044,0.000,-0.040,-0.040,0.795,0.798,-2.990,2.598,-2.440,2.047
0.048,0.000,-0.043,-0.043,0.793,0.796,-3.505,3.134,-2.742,2.373
0.052,0.000,-0.045,-0.045,0.792,0.795,-3.853,3.496,-3.154,2.799
0.056,0.000,-0.047,-0.048,0.790,0.793,-4.266,3.920,-3.564,3.221
0.060,0.000,-0.049,-0.050,0.788,0.791,-4.695,4.360,-3.972,3.640
0.064,0.000,-0.051,-0.052,0.786,0.789,-5.134,4.810,-4.394,4.074
0.068,0.000,-0.053,-0.053,0.784,0.787,-5.581,5.269,-4.816,4.509
0.072,0.000,-0.054,-0.055,0.782,0.786,-6.035,5.735,-5.242,4.948
0.076,0.000,-0.056,-0.056,0.780,0.784,-6.492,6.206,-5.668,5.388
0.080,0.000,-0.057,-0.057,0.778,0.782,-6.951,6.679,-6.094,5.829
0.084,0.000,-0.058,-0.058,0.776,0.780,-7.410,7.152,-6.517,6.268
0.088,0.000,-0.059,-0.059,0.774,0.778,-7.866,7.623,-6.936,6.702
0.092,0.000,-0.059,-0.059,0.771,0.776,-8.317,8.089,-7.348,7.131
0.096,0.000,-0.060,-0.060,0.769,0.774,-8.761,8.549,-7.752,7.552
